date, pm25, pm10, o3, no2, so2
2023/2/24, 21, 14, 31, 3, 
2023/2/25, 21, 8, 30, 2, 
2023/2/26, 12, 10, 29, 6, 
2023/2/27, 23, 10, 29, 6, 
2023/2/28, 34, 16, 28, 9, 
2023/3/1, 51, 17, 21, 4, 
2023/3/2, 60, 12, 31, 3, 
2023/3/3, 33, 13, 33, 1, 
2023/3/4, 13, 8, 31, 4, 
2023/3/5, 14, 10, 28, 6, 
2023/3/6, 31, 8, 27, 7, 
2023/3/7, 11, 15, 23, 8, 
2023/3/8, 47, 9, 23, 6, 
2023/3/9, 34, 6, 31, 5, 
2023/3/10, 9, 14, 29, 11, 
2023/3/11, 20, 17, 29, 5, 
2023/3/12, 32, 17, 30, 2, 
2023/3/13, 20, 13, 32, 3, 
2023/3/14, 12, 10, 29, 6, 
2023/3/15, 15, 10, 29, 5, 
2023/3/16, 21, 16, 21, 9, 
2023/3/17, 23, 16, 28, 6, 
2023/3/18, 32, 10, 24, 3, 
2023/3/19, 27, 13, 23, 8, 
2023/3/20, 29, 10, 23, 5, 
2023/3/21, 14, 9, 24, 5, 
2023/3/22, 10, 9, 32, 3, 
2023/3/23, 9, 12, 31, 2, 
2023/3/24, 6, 15, 33, 3, 
2023/3/25, 10, 18, 33, 3, 
2023/3/26, 17, 10, 32, 3, 
2023/3/27, 13, 12, 31, 8, 
2023/3/28, 19, 11, 27, 8, 
2023/3/29, 19, 17, 34, 3, 
2023/3/30, 16, 10, 27, 4, 
2023/3/31, 8, 6, 23, 3, 
2022/10/1, 35, 16, 25, 3, 
2022/10/2, 35, 17, 17, 10, 
2022/10/3, 38, 17, 22, 10, 
2022/10/4, 50, 11, 24, 4, 
2022/10/5, 35, 15, 24, 6, 
2022/10/6, 30, 20, 21, 9, 
2022/10/7, 45, 12, 21, 3, 
2022/10/8, 27, 14, 22, 8, 
2022/10/9, 47, 18, 15, 9, 
2022/10/10, 44, 19, 18, 11, 
2022/10/11, 45, 20, 17, 11, 
2022/10/12, 59, 20, 15, 11, 
2022/10/13, 59, 12, 19, 9, 
2022/10/14, 49, 16, 21, 7, 
2022/10/15, 51, 13, 22, 5, 
2022/10/16, 35, 14, 11, 7, 
2022/10/17, 39, 13, 22, 8, 
2022/10/18, 37, 11, 22, 7, 
2022/10/19, 43, 16, 12, 7, 
